TimeStamp;FrameCounter;State;RPM;ObjectDistance;SignalQuality;MovementSlow;MovementFast
2017-03-09T12:55:44.525+01:00;850;0;18.1938;0.943193;10;5.85414;0
2017-03-09T12:55:45.524+01:00;870;0;18.1533;0.943193;10;5.43499;0
2017-03-09T12:55:46.525+01:00;890;0;18.0047;0.943193;10;5.22075;0
2017-03-09T12:55:47.525+01:00;910;0;17.6568;0.943193;10;5.14158;0
2017-03-09T12:55:48.525+01:00;930;0;17.2029;0.943193;10;4.95529;0
2017-03-09T12:55:49.525+01:00;950;0;16.5799;0.962111;10;4.55943;0.82478
2017-03-09T12:55:50.524+01:00;970;0;16.4062;0.962111;10;3.94001;5.16862
2017-03-09T12:55:51.524+01:00;990;0;16.2555;0.962111;10;3.80496;10.2089
2017-03-09T12:55:52.525+01:00;1010;0;15.8266;0.962111;10;6.13357;11.0337
2017-03-09T12:55:53.525+01:00;1030;0;15.3549;0.962111;10;11.331;14.0946
2017-03-09T12:55:54.525+01:00;1050;0;14.9995;0.981028;10;15.3828;14.0579
2017-03-09T12:55:55.524+01:00;1070;0;14.7317;0.981028;10;18.0142;13.3614
2017-03-09T12:55:56.525+01:00;1090;0;14.4808;0.981028;10;20.3847;30.5169
2017-03-09T12:55:57.524+01:00;1110;0;14.4808;0.981028;10;24.6274;34.7324
2017-03-09T12:55:58.524+01:00;1130;0;14.4808;0.981028;10;33.709;38.5447
2017-03-09T12:55:59.525+01:00;1150;0;14.4808;0.981028;10;40.8253;36.217
2017-03-09T12:56:00.524+01:00;1170;1;0;0;0;46.861;30.7918
2017-03-09T12:56:01.524+01:00;1190;1;0;0;0;50.326;26.4296
2017-03-09T12:56:02.525+01:00;1210;1;0;0;0;51.9374;7.12977
2017-03-09T12:56:03.524+01:00;1230;1;0;0;0;52.487;0.916422
2017-03-09T12:56:04.525+01:00;1250;1;0;0;0;52.5009;0.421554
2017-03-09T12:56:05.524+01:00;1270;1;0;0;0;52.3892;0.201613
2017-03-09T12:56:06.524+01:00;1290;1;0;0;0;52.0352;0.0549853
2017-03-09T12:56:07.524+01:00;1310;1;0;0;0;51.3832;0
2017-03-09T12:56:08.524+01:00;1330;1;0;0;0;50.1211;0
2017-03-09T12:56:09.524+01:00;1350;1;0;0;0;48.9987;0
2017-03-09T12:56:10.525+01:00;1370;1;0;0;0;47.6574;0
2017-03-09T12:56:11.525+01:00;1390;0;29.9659;0.981028;10;45.2217;0
2017-03-09T12:56:12.525+01:00;1410;0;30.0304;0.981028;10;41.7567;0
2017-03-09T12:56:13.525+01:00;1430;0;30.2792;0.981028;10;35.9259;0
2017-03-09T12:56:14.525+01:00;1450;0;30.2792;0.981028;10;25.801;0
2017-03-09T12:56:15.524+01:00;1470;0;30.2792;0.981028;10;14.3769;0.58651
2017-03-09T12:56:16.526+01:00;1490;0;30.2792;0.981028;10;10.2273;4.14223
2017-03-09T12:56:17.525+01:00;1510;1;0;0;0;10.1108;4.94868
2017-03-09T12:56:18.525+01:00;1530;1;0;0;0;12.2485;4.78372
2017-03-09T12:56:19.526+01:00;1550;1;0;0;0;15.1965;3.44575
2017-03-09T12:56:20.524+01:00;1570;1;0;0;0;17.1991;0
2017-03-09T12:56:21.526+01:00;1590;1;0;0;0;17.6509;0.219941
2017-03-09T12:56:22.526+01:00;1610;1;0;0;0;17.6788;0.164956
2017-03-09T12:56:23.526+01:00;1630;1;0;0;0;18.0188;0.0916422
